isin;structure;actualite;action
LU0164455502;Carmignac Commodities est un fonds actions internationales investissant sur des sociétés dont les bénéfices dépendent de l’évolution des ressources naturelles. Le fonds a changé de gérant en début 2014. La performance du fonds repose désormais sur 3 piliers : l’énergie (20 à 60% de l’actif), les minières (20 à 60% de l’actif) et les industries connexes c’est-à-dire produits agricoles, pétrochimie… (de 0 à 30% de l’actif). Au niveau de la typologie d’entreprises, le fonds est constitué d’un portefeuille cœur de 50 à 70% constitué d’entreprises matures génératrices de liquidités et d’un portefeuille niche (20 à 40%) dans lequel on trouvera plutôt de plus petites sociétés en croissance (technologie, nouvelles ressources, alternatives). Par ailleurs on trouve des couvertures pouvant aller jusqu’à 30% du portefeuille. Le gérant se repose sur son analyse personnelle de l’équilibre entre offre et demande sur les différentes matières premières sous-jacentes dans le fonds. Les actions de ces sociétés sont internationales mais avec un fort tropisme nord-américain. Le risque de change n’est pas couvert. Les frais de gestion nous semblent trop élevés.;Le fonds est principalement investi sur le secteur de l’énergie (33%). Les sociétés liées aux métaux industriels sont à 20%. A noter que la pondération en mines d’or a été relevée à plus de 15% (contre 10% 6 mois auparavant). Le taux d’investissement actions est légèrement en dessous de 80%. ;ALLEGER
LU0336083810;Fonds actions positionnées sur des petites et moyennes capitalisations de type « croissance » des pays émergents aux fondamentaux macroéconomiques solides. Les gérants cherchent à investir dans des secteurs peu exploités, indépendants des marchés, ce qui peut générer plus de volatilité. Ces marchés dits « frontière » représentent environ 1/3 du portefeuille. L’exposition actions est relativement stable, au-dessus des 90% et correspond généralement à l’investissement (ie peu de modification via des dérivés). Les sociétés retenues sont plutôt des Mids Caps (1 à 8 Mds€).; A l’instar de de toute la gamme Carmignac, le fonds est positionné de manière prudente tout en restant investi. La gestion prévoie un ralentissement économique généralisé et une volatilité accrue, le gérant privilégie donc les valeurs de qualité et de croissance générant d’importants flux de trésorerie, capables de croître indépendamment du cycle économique. Il favorise les pays asiatiques (60% de l’allocation) qui affichent des surplus budgétaires conséquents et disposent de nombreux secteurs encore sous-pénétrés. La Chine et l’Inde restent les plus importantes pondérations (environ 14% chacune). Les marchés frontières sont aussi représentés (10%). ;Conserver
LU0336083497; Carmignac Global Bond est un fonds d’obligations internationales. Les moteurs de performance sont les taux, le crédit et les devises. Le fonds a une approche « top down » : le portefeuille est construit à partir d’un scénario central qui détermine les positions taux, crédit et devises. Le gérant est très réactif et peut franchement modifier l'allocation ;La sensibilité a été largement augmenté de 3.5 à 6 via la clôture partielle du short Bund et l’augmentation. La macro-économie semble marquer le pas pour les gérants.  La position sur les dettes périphériques européennes a été maintenue. Par ailleurs, le fonds est vendeur de crédit. Sur les devises, l’exposition au dollar est maintenue basse. ;
FR0010149211;Carmignac Profil Réactif 100 est un fonds d’allocation flexible entre obligations et actions internationales. L’exposition actions varie de 0 à 100%. Le portefeuille est composé uniquement de fonds de la gamme Carmignac, mais on note une bonne réactivité sur l’allocation tactique tactique  (arbitrage sur les différents fonds). Les fonds utilisés sont des OPC obligataires, actions et diversifiés. Alors que la poche est principalement positionnée sur l’Europe, l’allocation de la poche actions est plus diversifiée et évolue très rapidement dans le temps. Les pays émergents peuvent représenter une part conséquente de la poche actions (jusqu’à 100%). Le gérant peut également utiliser des produits dérivés ce qui lui permet d’ajuster la sensibilité (entre -3 et 3) et l’exposition nette actions.;La gestion est très prudente tant sur les actions que sur les taux. Le scénario  central de Carmignac est clairement pessimiste. Selon le gérant, Les incertitudes macro-économiques et monétaires, les risques politiques et les tensions sur le commerce mondial vont peser.  La gestion maintient donc une exposition actions faible à 7.6% après couvertures (24% brute). De manière assez original chez Carmignac, le fonds est plus exposé à l’Europe et aux émergents qu’aux US (c’est par exemple l’inverse sur Carmignac Patrimoine). La duration est proche de 0 tout comme le taux de rendement actuariel. ;VENDRE
FR0010149203;Carmignac Profil Réactif 50 est un fonds d’allocation flexible entre obligations et actions internationales. L’exposition actions varie de 0 à 50%. Le portefeuille est composé uniquement de fonds de la gamme Carmignac, mais on note une bonne réactivité sur l’allocation tactique (arbitrage sur les différents fonds). Les fonds utilisés sont essentiellement obligataires (> 50%) et la diversification se fait via des OPC actions et diversifiés. Le portefeuille est principalement positionné sur l’Europe. Le gérant peut également utiliser des produits dérivés ce qui lui permet d’ajuster la sensibilité (entre -2 et 4) et l’exposition nette actions. Les frais courants nous semblent trop élevés pour cette classe d’actifs.;Depuis 1 an, la stratégie a été de réduire l’exposition nette action qui est à son plus bas sur les 2 dernières années (7.5%). Au niveau géographique, c’est l’Allemagne qui domine la poche actions avec un poids de 35% et le secteur des technologies ressort en pole position depuis près d’un an. Sur la poche taux, le portefeuille s’était resensibilisé en début d’année jusqu’à 1.8 pour de nouveau se désensibiliser sur les 2 derniers mois (0.30 à fin avril). Les taux variables sont très peu utilisés, plus des ¾ du portefeuille étant investis sur des taux fixes. La gestion conserve un poids entre 5 et 10% sur des ABS.;vendre
FR0011351592;CCR Spread Opportunities est un fonds qui vise à profiter des tensions sur les spread de crédit c’est-à-dire le sur rendement offert par les entreprises au-delà des rendements des obligations d’Etat. Le fonds intervient sur deux actifs : les obligations d’entreprises de bonne qualité appelées « investment grade » et les obligations de qualité moindre appelées « High Yield ». Lorsque les rendements offerts par les entreprises sont élevés le fonds investira  principalement en « High Yield ». A l’inverse, lorsque le gérant estime, grâce à un modèle propriétaire, que  les spread de crédit ne rémunèrent plus assez pour compenser le risque, le fonds sera principalement investi en « investment grade ». L’intérêt pour l’investisseur est que CCR gère le timing d’entrée/sortie sur le marché des obligations d’entreprises. Si CCR Spread Opportunities gère le risque de crédit, il ne sera que très peu exposé au risque de taux, ce que nous privilégions. Il ne sera pas non plus exposé au risque de change même si le gisement obligataire est international (pays développés). Les deux moteurs de performance sont donc : -L’allocation entre l’investment grade et le High Yield – l’allocation géographique globalement entre zone US et Europe.;Le fonds a profité de la hausse récente des spreads de crédit pour se réinvestir. Le fonds est désomais à 24% de HY dont 70% aux US (sans risque de change)  et 30% en Europe. ;
FR0010455428;;;
FR0007450002;CG Nouvelle Asie est un fonds actions internationales positionné sur l’Asie hors Japon. La construction du portefeuille se base sur la sélection de titres, de type « croissance » dont la taille de capitalisation est supérieure à 1 Mds$. Il en résulte un portefeuille très concentré, sur 30 à 40 lignes avec des pondérations pouvant aller jusqu’à 9% sur certains titres.;La performance a souffert d'une rotation des styles, qui s'est traduite par la sous-performance des stratégies de qualité et de croissance par rapport au style value (sur les émergents, donc l’inverse de l’Europe). Malgré leur comportement boursier, les sociétés en portefeuilles affichent des prévisions bénéficiaires plus élevées fin 2018 qu'en début d'année (selon le consensus et nos propres chiffres). Le gérant est donc confiant. Il prévoit une croissance bénéficiaire des sociétés en portefeuille d'environ 15% en 2019 et au cours des cinq prochaines années. Cette croissance n'est pas exceptionnelle pour un portefeuille Comgest, mais un PER de seulement 13x les résultats des douze prochains mois l'est. ;conserver
FR0000281495;Comgest Japan est un fonds actions japonaises avec un biais croissance. La gérante cherche des sociétés générant une croissance des bénéfices supérieure à celle du marché. Le portefeuille est concentré sur 30 à 50 valeurs. L’investissement est long terme pour un gérant actions, chaque valeur restant en portefeuille en moyenne 3 à 5 ans.;Le portefeuille est aussi bien positionné sur des sociétés exportatrices que sur des sociétés tirant leur profits de la croissance domestique. La gérante est très positive sur la thématique notamment à cause de l’amélioration de la corporate governance et de la croissance des bénéfices qui est la plus forte des grandes zones économiques. Le P/E du portefeuille et surtout le P/B sont élevés en relatif par rapport à l'indice;
FR0000292278;Magellan est un fonds d’actions émergentes avec un biais croissance qui nous semble logique sur cette thématique. Avec une quarantaine de positions, le fonds peut être qualifié de concentré. Cependant, cette concentration n’est pas un problème et nous semble adéquate pour un fonds de convictions.;Les actions émergentes ont fortement souffert en 2018 des craintes de guerre commerciale entre les US et la Chine. Les actions chinoises ont apr exemple baissé de plus de -25% sur 2018. Le gérant est plus confiant sur 2019. L'échiquier politique est plus clair depuis les scrutins présidentiels de certains pays. L'activité économique a commencé à se redresser. Enfin les valorisations sont maintenant revenues sur des niveaux bas. ;CONSERVER
FR0000295230;Renaissance Europe est un fonds d’actions européennes (Royaume-Uni inclus) avec un biais croissance/qualité. Le fonds investit donc sur des valeurs dont le potentiel de croissance des résultats est supérieur à la moyenne (exemple : L’Oréal, Essilor…). La période de détention moyenne des titres est longue (plusieurs années). Le portefeuille est concentré sur 30/40 titres de grandes capitalisations. ;La rotation sectorielle a été importante en 2018, les investisseurs ont fui les valeurs très risquées ou cycliques en faveur des valeurs plus défensives. Le gérant est en partie sorti des valeurs ayant fortement progressé (Wirecard, Dassault Systèmes, Christian Hansen et Amadeus). A l’inverse, le gérant est allé vers des valeurs plus défensives ce qui a contribué à la résistance du portefeuille. Le gérant est confiant sur son portefeuille puisque  la plupart des sociétés en portefeuille sont peu sensibles aux incertitudes macroéconomiques et politiques, et toutes continuent d'investir dans la croissance à long terme, dixit la gestion. ;CONSERVER
FR0000284689;Comgest Monde est un fonds actions internationales avec un biais valeurs de croissance. Le fonds privilégie ainsi des sociétés dont la croissance des bénéfices est supérieure à la moyenne du marché. La gestion est résolument « bottom up » c’est-à-dire qu’elle se concentre sur les dossiers entreprises et non sur la macro-économie. Le gérant peut fortement s’écarter de l’indice que ce soit sectoriellement ou géographiquement. Le portefeuille est concentré sur 30 à 40 valeurs qui font partie des 300 valeurs suivies par les fonds régionaux de Comgest. Comgest Monde est ainsi un best of de la gamme Comgest. Le taux de rotation est faible (détention moyenne d’une valeur entre 3 et 5 ans) ce que nous privilégions. Le risque de change est présent.;Peu de changements dans le fonds après les arbitrages importants de début d’année (passage de croissance agressive, i.e. technologie, à croissance défensive, i.e. consommation de base). consommation non cyclique (30% du portefeuille) et santé (20% du portefeuille) deviennent les principales sur pondération. Au niveau géographique, l’Asie a été abaissé au profit des US mais reste en sur pondération (Japon + émergents : 30% versus 18% pour l’indice)  et les US en sous pondération (42% US versus 55%).La gérante principale, Celine Piquemal quitte la société en mars 2019. Cela étant dit Laure NIegar, la co gérante reste.;ACHETER
FR0010097667;CPR Croissance Defensive est un fonds d’allocation d’actifs essentiellement sur actions et obligations mais fortement diversifié géographiquement (US, Europe, Japon, pays émergents). Le gérant se concentre sur les classes d’actifs et ne sélectionne pas les titres. Nous privilégions cette approche car le plus souvent il est difficile de trouver des gérants talentueux sur ces deux types de gestion. CPR Croissance Defensive est à mi-chemin entre un process quantitatif et un process qualitatif. Les gérants et stratégistes déterminent des scénarii de marché et mettent des prévisions sur une quarantaine de classes d’actifs. Ils entrent toutes ces données dans un modèle quantitatif propriétaire qui leur donne les pondérations des différentes classes d’actifs. Cependant, le gérant a toujours la possibilité d’amender légèrement le portefeuille. Le fonds peut aller de 10 à 30% en actions. Côté obligataire la sensibilité peut aller de -1 à 8. Le gérant utilise réellement ces bornes de fluctuation ce qui est un élément positif. Le risque de change est présent mais contenu.;Le process du fonds est en train de changer afin de palier l’absence de rendement de la partie obligataire. L’objectif est d’essayer d’avoir un rendement de la poche obligataire supérieur aux frais de gestion. Par ailleurs, la gestion incorpore des techniques de gestion alternative afin de booster les performances : long/short  sur indice (global macro) et primes de risques market neutre. Le gérant a changé (Vincent Bonami). Sur les positions actuelles, l’exposition actions est proche de 18%, soit en dessous de la neutralité (20%). L'essentiel de l'exposition actions l'est sur les Etats-Unis (12%). La sensibilité obligataire a été fortement remontée à 3,18.  Le scénario central d’une bonne dynamique mondiale est devenu minoritaire (45%) avec les 3 scénarii adverses qui sont devenus majoritaires. Le scénario d’escalade des tensions commerciales monte fortement. Les autres risques sont le changement de la perception sur l’inflation et les tensions politiques en Europe. ;ALLEGER
FR0010097642;;;
FR0010097683;CPR Croissance Réactive est un fonds d’allocation d’actifs essentiellement sur actions et obligations mais fortement diversifié géographiquement (US, Europe, Japon, pays émergents). Le gérant se concentre sur les classes d’actifs et ne sélectionne pas les titres. Nous privilégions cette approche car le plus souvent il est difficile de trouver des gérants talentueux sur ces deux types de gestion. CPR Croissance Réactive est à mi chemin entre un process quantitatif et un process qualitatif. Les gérants et stratégistes déterminent des scénarii de marché et mettent des prévisions sur une quarantaine de classes d’actifs. Ils entrent toutes ces données dans un modèle quantitatif propriétaire qui leur donne les pondérations des différentes classes d’actifs. Cependant, le gérant a toujours la possibilité d’amender légèrement le portefeuille. Le fonds peut aller de 20 à 80% en actions pour une sensibilité maximale de 5. Le gérant utilise réellement ces bornes de fluctuation ce qui est un élément positif. Le risque de change est présent mais contenu.;Le scénario central d’une bonne dynamique mondiale est devenu minoritaire (45%) avec les 3 scénario adverses qui sont devenus majoritaires. Le scénario d’escalade des tensions commerciales monte fortement. Les autres risques sont le changement de la perception sur l’inflation et les tensions politiques en Europe. Il y a actuellement 46% d’actions dans le portefeuille dont les 2/3 sur les US. La gestion est méfiante sur l’Italie. Avec la remontée des spread de crédit, Ils ont remis un peu de crédit HY européen à savoir 5%. La sensibilité est maintenue basse à 0.57 mais il y a en fait un long/short avec un achat de 10 ans US et une vente de 2 ans. Le gérant joue donc l’aplatissement. Le fonds est exposé à 30% de dollar US et 5% de Yen. ;ALLEGER
FR0010223537;Fonds actions croissance  classique. Il fonde sa sélection sur le pricing power et la position de leader. On se retrouve donc avec un positionnement croissance marqué.  Positionnement concurrentiel  satisfaisant mais la surperf ne se fait réellement que sur 2012. De plus  nous ne privilégions pas cette catégorie.;;
FR0007027131;"Le fonds Delubac Patrimoine est un fonds de fonds flexible monde « prudent » de gestion patrimoniale à dominante taux. En effet, le fonds investit au maximum 20% sur la poche actions et 80% sur les obligations (dont 25% max d’oblig HY). 
Le Fonds est très réactif et largement diversifié internationalement. Son objectif est de réaliser une performance annuelle de 5% en affichant une volatilité de 5%.
L’allocation d’actifs du portefeuille résulte d’une approche top-down puis bottom-up. En effet, les gérants déterminent en amont 20 indices à intégrer à leur modèle quantitatif selon leurs convictions macroéconomiques. Ils y insèrent des bornes d’allocations maximum et le modèle leur sort, par une analyse de la minimum variance, les axes d’investissement à suivre. Le modèle utilise les variations de rendements, de volatilité et des corrélations pour déterminer les pondérations de l’allocation optimale sous contraintes des bornes maximales. Les allocations sont revues tous les mois.
Le problème de ce fonds est son caractère de « trend follower ». En effet, si une tendance claire se dégage sur les marchés, le process du fonds permettra de la suivre. Si, à l’inverse, le marché ondule alors les prises de position retardées par le modèle seront détractrices de performance. 
Aucune couverture devise n’est effectuée. En moyenne, le portefeuille est exposé à 60% d’euro + 40% à d’autres devises dont des devises émergentes.
";"Le fonds est historiquement désinvesti (40% de monétaire en juillet). La gestion est sortie du HY et des convertibles. La part obligataire est mixte entre du corporate et du souverain. Le gérant n’a pas su répondre si l’investissement sur des fonds permettait de capter plus d’alpha que l’investissement sur des trackers indiciels.
";
LU0902964260;Tracker alternatif. L'idée est de reproduire tous les biais de style (alpha) sans être exposé au marché (beta). Les styles présents sont:value, momentum, taille de capitalisation, qualité. Les styles sont équipondérés. Sur le style value par exemple, DB prend les 200 valeurs les plus sous cotées  de l'indice dans un univers de 1000 et couvre contre le marché. Nous trouvons cette philosophie tout à fait adéquate. Les performances sont au rendez vous.  ;;
LU0462973347;DNCA MIURA est un fonds acheteur/vendeur actions (Long/Short) avec une exposition nette au marché (positions longues – positions vendeuses) pouvant aller de -20% à +20%. Le fonds n’investit que sur des valeurs ayant une capitalisation supérieure à 500 millions d’Euros. Schématiquement, le portefeuille est scindé en deux parties. D’une part, les titres avec des convictions absolues, c'est-à-dire des titres sur lesquels le gérant a une conviction de hausse ou de baisse. D’autre part,  des titres avec des convictions relatives, c'est-à-dire que le gérant va analyser une action contre une autre et jouer une à l’achat et l’autre à la vente. Toutes les analyses sont micro-économiques, dossier par dossier.  ;Le maitre mot est la prudence : Ils ont réduit les expositions nettes de manière générale sur tous les fonds de la gamme (-3%% sur Miura, 5% sur Miuri, 15% sur Velador, 30% sur Venasquo) .A l’intérieur du portefeuille, plusieurs thématiques co existent: la première est celle des « revanchards ». Ce sont des sociétés qui ont été trop affectées par la perception qu’elles pourraient être négativement impactées par le digital et l’arrivée de nouveaux entrants comme Uber, Airbnb. Finalement, ces derniers prennent des parts de marché mais subissent ensuite des régulations qui profitent aux acteurs historiques des secteurs. Le même scénario se reproduit pour la publicité. Les agences de pub se digitalisent. Publicis représente 5-6% des fonds, remporte tous les derniers appels d’offres et les niveaux de valorisation sont assez faibles. L’automobile : Ils sont convaincus que ce sont des acteurs tels que BMW, Audi, Volkswagen qui vont sortir gagnants de la course à l’électrique face à Tesla. Ils ont eu des progressions de résultats ces 4 dernières années pour Volkswagen et Porsche de l’ordre de 20 à 40% et des cours de bourse qui n’ont plutôt rien fait. Ils ont les ressources, le marché et la marque pour le faire.  Le digital manufacturing représente 10% du portefeuille :  ce sont des sociétés qui font d’énormes économies dans la chaine de production grâce à la robotisation, l’automatisation. La gestion investit également sur la recovery européenne : avec Saint Gobain (5%) et Bouygues (6%)…. PE de 5 à 12x, croissance des BPA. Enfin la thématique de la Chine est présente afin de jouer la forte croissance du secteur du luxe en Chine. Côté short, la gestion est short banques (ils ont coupé des positions comme UniCredit) et utilities. ;
LU1209145538;DNCA Invest Velador est un fonds acheteur/vendeur actions (Long/Short) avec une exposition nette au marché (positions longues – positions vendeuses) pouvant aller de 0 à +50%. Le fonds n’investit que sur des valeurs ayant une capitalisation supérieure à 150 millions d’Euros, l’univers est donc très large. Le fonds est composé de titres pour sa partie longue et d'indices pour sa partie short. Attention ces indices peuvent être des indices de marchés (CAC40, Eurostoxx) ou des indices sectoriels. Le gérant peut avoir des convictions absolues et dans ce cas le gérant est acheteur de la valeur et vendeur du marché. Il peut aussi avoir des convictions relatives. Dans ce cas, il est acheteur de la valeur et vendeur de l’indice sectoriel.;La sélection de valeurs a été très défaillante en 2018. La performance a été mauvaise et a entrainé le départ du directeur de la gestion performance absolue. 5 valeurs expliquent la quasi-totalité de la contre performance. La gestion les conserve tant les niveaux de valorisations sont bas. La gestion met deux thématiques en avant : la value (50% du portefeuille long) avec des secteurs dont les valorisations ne reflètent pas les fondamentaux et la croissance structurelle (digital manufacturing, urbanisation, tourisme international). L’exposition nette de Velador est à 29%. L’exposition brute a été abaissé de 20%. ;ALLEGER
LU0641745681;DNCA MIURI est un fonds acheteur/vendeur actions (Long/Short) avec une exposition nette au marché (positions longues – positions vendeuses) pouvant aller de -20% à +20%. Le fonds n’investit que sur des valeurs ayant une capitalisation supérieure à 500 millions d’Euros. Le fonds est composé de titres pour sa partie longue et d'indices pour sa partie short. Attention ces indices peuvent être des indices de marchés (CAC40, Eurostoxx) ou des indices sectoriels. ;La sélection de valeurs a été très défaillante en 2018. La performance a été mauvaise et a entrainé le départ du directeur de la gestion performance absolue. La moitié de la contreperformance vient du secteur Telecom et de la Short Position sur le secteur Retail. 5 valeurs expliquent la quasi-totalité de la contre performance. La gestion les conserve tant les niveaux de valorisations sont bas. La gestion met deux thématiques en avant : la value (50% du portefeuille long) avec des secteurs dont les valorisations ne reflètent pas les fondamentaux (P/E<10, croissance des cash flows > 10%) et la croissance structurelle (digital manufacturing, urbanisation, tourisme international). L’exposition nette de Miuri est à 9%. L’exposition brute a été abaissé de 20% ainsi que  le poids des convictions pour une meilleure gestion du risque.;ALLEGER
FR0010058008;DNCA Value Europe  est un fonds actions européennes centré sur des valeurs délaissées par le marché ou en restructuration avec un horizon d’investissement de 3-4 ans. Même si comme son nom l’indique ce fonds est de style « value », le gérant ne se concentre pas sur les métriques classiques pour ce type de fonds à savoir le Prix/actif net ou le Prix/bénéfices. En effet, ces ratios dépendent trop de la conjoncture pour le gérant Isaac Chebar.Il regarde surtout la génération de cash flows. Le portefeuille est concentré sur 35-40 valeurs.;La gestion continue de privilégier les entreprises ayant une aptitude à générer du cash sur une période de 3 à 5 ans. Le secteur des Biens et services industriels reste le secteur largement favorisé par la gestion (22.8%), les autres secteurs représentant moins de 10% du portefeuille. Par ailleurs la gestion estime qu’il y a de belles opportunités sur des valeurs bancaires résilientes françaises ou italiennes. Elle compte privilégier également les sociétés pétrolières majeures et les sociétés pharmaceutiques solides, dont la valorisation ne dépend pas des futurs résultats de recherche et développement. Les sociétés de médias restent délaissées par les investisseurs mais elles ont opéré des changements stratégies pour faire face à la concurrence numérique, qui devraient être payants. Ce secteur représente 4.8% du fonds. Enfin concernant les télécommunications (8.3% du ptf), la gestion juge qu’il y a toujours de fortes barrières à l’entrée du secteur en Europe malgré une régularisation plus souple. ;CONSERVER
FR0007051040;Eurose est un fonds patrimonial, c’est-à-dire devant délivrer une performance stable dans le temps. Ses moteurs de performance sont les actions et les obligations essentiellement d’entreprises. La diversification géographique est peu présente puisque le fonds est centré sur l’Europe. L’allocation stratégique c’est-à-dire la répartition entre grandes classes d’actifs évolue peu autour d’une moyenne 80% obligations, 20% actions. Cependant le gérant peut utiliser dans des cas extrêmes les limites 0 à 30% d’actions qui lui sont données. ;"Le recul des marchés d’actions explique près de 70% de la baisse d’Eurose sur 2018. 
Concernant les actions, la gestion a profité de la baisse pour renforcer le secteur pétrolier via Total et Royal Dutch, et renforcer les valeurs défensives avec Sanofi et les Télécoms. Les positions en financières ont été maintenues malgré la baisse. La faible sensibilité moyenne de la part obligataire n’a pas constitué une protection suffisante face à la dégradation des marges de crédit et dans une moindre mesure de la dette d’Etat italienne. L’exposition en actions est maintenant de l’ordre de 28,4%. Les niveaux de valorisation des titres en portefeuille paraissent très attrayants mais les perspectives bénéficiaires pourraient s’éroder dans les mois à venir. Sauf à envisager la survenue d’évènements extrêmes, les marges de sécurité apparaissent toutefois assez confortables selon le gérant. Le rendement moyen du portefeuille obligataire, 2% en fin d’année contre 0,5% fin 2017 pour une maturité moyenne stable autour de 3 ans. ";VENDRE
FR0007076930;Centifolia est un fonds actions françaises avec une exposition minimum au marché de 60%. Il peut investir sur tout type de capitalisation mais avec une limite de 20% sur les sociétés de petites tailles. Dans les faits, il se positionne essentiellement sur des Large Caps de type « Value », c’est-à-dire des valeurs considérées comme sous-valorisées par le marché.;"Centifolia enregistre une performance trimestrielle (-15.4%) en ligne avec sa catégorie de référence. Le fonds a en effet souffert de ses positions « value » et cycliques qui ont été pénalisée par les craintes sur la croissance économique.
La répartition sectorielle du portefeuille a peu évolué. Elle reste très diversifiée avec 10,4% sur le secteur principal. On note toutefois une réduction des deux premiers secteurs : la technologie (-3.20%) et l’industrie (-1.00%), au profit de la santé (+1.50% ; 7.60% du ptf), des télécommunications (+1.30% ; 6.80%) et des loisirs (+1.40% ; 4.60%).
Bien que les rendements actions attendus pour 2019 soient bons et que le portefeuille ait retrouvé des marges de sécurité, la gestion craint toute de même dans la conjoncture actuelle, des révisions à la baisse des résultats des sociétés.";CONSERVER
FR0007050190;DNCA EVOLUTIF est un fonds flexible entre actions et obligations et/ou monétaire. L’objectif de ce fonds est de bénéficier de 70% des hausses et ne souffrir que de 30% des baisses. La gestion DNCA est connue pour son approche « value », c’est-à-dire un investissement sur des titres de sociétés dont la valeur boursière est en dessous de la valeur fondamentale calculée par les analystes. Il est donc naturel de trouver des actions « value » dans DNCA Evolutif mais le fonds n'est pas exclusif et on peut trouver des titres croissance. Les valeurs du portefeuille sont en majorité françaises et de grandes capitalisations.  La poche obligataire est aussi source de performance puisque investie en obligations d’entreprises dont une partie « haut rendement », c’est-à-dire des titres dont la qualité est qualifiée de moyenne par les agences de notation. La poche obligataire est donc source de performance mais aussi de risque. Le focus est donc mis sur les entreprises que ce soit au travers des actions ou des obligations.;"L’exposition actions du fonds est maintenue au-dessus de 60% (64%) avec un biais sur la France et sur les sociétés de type « value ». L'exposition actions a peu évolué pour un fonds ""évolutif"". Néanmoins, la gestion a renforcé ses positions « croissance » dans la baisse au détriment du secteur automobile. En effet, ce sont les valeurs cycliques qui ont été le plus pénalisées par les craintes sur la croissance économique. Toutefois, la gestion reste confiante dans les valeurs en portefeuille, notamment sur les secteurs de la construction et de la technologie, qui ne devraient pas subir de ralentissement.
La poche obligataire conserve une sensibilité taux faible grâce à une maturité moyenne des titres courte, notamment sur la partie High Yield. L’exposition à l’Italie est limitée et la gestion reste à l’écart des titres libellés en livre sterling.";ALLEGER
FR0010557967;Dorval Convictions est un fonds flexible entre deux classes d’actifs : les actions européennes et les produits de taux. La flexibilité n’est pas un vain mot chez Dorval puisque l’intervalle de 0 à 100% actions a réellement été utilisé dans le temps. Nous apprécions cette vision tranchée même si elle peut mener à des déconvenues sur le court terme. La composition du portefeuille repose sur 4 déterminants : l’analyse macro-économique, l’analyse micro-économique (analyse des entreprises), le suivi des valorisations (les actions sont-elles chères ?) et l’analyse technique. De cette synthèse découlent le taux d’investissement global et les thèmes d’investissement. Ce process est simple mais efficace.;L'exposition du fonds est actuellement de 41% soit en augmentation par rapport aux 25% du printemps mais en baisse depuis quelques semaines . Fondamentalement, la gestion n’est pas positive. La macro économie s'est dégradée en Europe et les perspectives bénéficiaires sont moins bonnes que ne l'estime le marché. Surtout la gestion a peur que le marché s'emballe sur des craintes de guerre commerciale. D’un autre côté, la prime de risque politique qui s’est accumulée depuis mars devrait se dégonflée. Le budget italien ne devrait pas être un problème, les négociations sur le Brexit avancent enfin et la Turquie s’est vue contrainte à un peu plus d’orthodoxie budgétaire. Pour ces différentes raisons, il apparait logique que l’exposition soit « moyenne ». Au niveau de la sélection de valeurs, le biais « value » du portefeuille a couté mais la gestion maintient le cap tant l’écart entre « croissance » et « value » apparaît fort.  ;ACHETER
FR0011038785;Dorval Manageurs Europe est un fonds actions européennes qui a pour originalité de se concentrer sur les manageurs et leur capacité à développer/gérer les sociétés. Le gérant identifie en premier lieu des thématiques d’investissement puis les manageurs les plus talentueux au sein de ces thématiques. Le fonds a un biais croissance et surtout petites et moyennes capitalisations.;Le portefeuille est réparti sur une quarantaine de lignes dont les 10 premières représentent plus de 41% de l’actif. La moitié de la poche actions est placée sur des moyennes et petites capitalisations (< 5 Mds €). Le secteur des Technologies est toujours en pôle position (26.6%) et la gestion maintient sa préférence pour la France (22.6%). L’année 2018 s’annonce compliquée. Le fonds enregistre une contreperformance à fin juin de -8.4% (dont -5% sur le dernier mois) contre -1.6% pour l’indice. Le fonds a souffert de son absence du luxe et de sa faible exposition aux pétrolières. De plus 4 titres ont perdu plus de 40% YTD et ont donc particulièrement couté à la performance du fonds : Dialog, FF Group, Ferratum et Tom Tailor. Le stock picking a donc posé problème. ;
FR0010229187;Dorval Convictions est un fonds flexible entre deux classes d’actifs : les actions européennes et les produits de taux. La flexibilité n’est pas un vain mot chez Dorval puisque l’intervalle de 0 à 100% actions a réellement été utilisé dans le temps. Nous apprécions cette vision tranchée même si elle peut mener à des déconvenues sur le court terme. La composition du portefeuille repose sur 4 déterminants : l’analyse macro-économique, l’analyse micro-économique (analyse des entreprises), le suivi des valorisations (les actions sont-elles chères ?) et l’analyse technique. De cette synthèse découlent le taux d’investissement global et les thèmes d’investissement. Ce process est simple mais efficace.;L'exposition du fonds est actuellement de 52% soit en augmentation par rapport aux 25% du printemps. Fondamentalement, la gestion n’est pas positive. La macro économie s'est dégradée en Europe et les perspectives bénéficiaires sont moins bonnes que ne l'estime le marché. Surtout la gestion a peur que le marché s'emballe sur des craintes de guerre commerciale. D’un autre côté, la prime de risque politique qui s’est accumulée depuis mars devrait se dégonflée. Le budget italien ne devrait pas être un problème, les négociations sur le Brexit avancent enfin et la Turquie s’est vue contrainte à un peu plus d’orthodoxie budgétaire. Pour ces différentes raisons, il apparait logique que l’exposition soit « moyenne ». Au niveau de la sélection de valeurs, le biais « value » du portefeuille a couté mais la gestion maintient le cap tant l’écart entre « croissance » et « value » apparaît fort.  ;ACHETER
